,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
143,P1,02/01/2026,20:45,Guimaraes,Nacional,2,1,H,0,0,D,9,14,4,4,20,18,2,3,1,3,0,0,1.81,3.3,4.5
144,P1,03/01/2026,15:30,Tondela,Arouca,3,1,H,2,1,H,5,11,3,4,12,7,2,9,3,1,0,0,2.05,3.3,3.5
145,P1,03/01/2026,18:00,Benfica,Estoril,3,1,H,2,1,H,20,9,3,4,12,15,7,3,0,2,0,0,1.19,5.75,13.0
146,P1,03/01/2026,18:00,Estrela,Sp Braga,3,3,D,1,1,D,11,10,4,6,14,8,5,7,2,1,0,0,6.5,4.33,1.45
147,P1,03/01/2026,20:30,AVS,Moreirense,0,2,A,0,1,A,9,12,4,5,23,11,2,4,5,3,0,0,3.4,3.05,2.2
148,P1,04/01/2026,15:30,Rio Ave,Casa Pia,3,1,H,0,0,D,12,15,8,5,10,23,9,4,0,1,0,0,2.32,3.05,3.05
149,P1,04/01/2026,18:00,Santa Clara,Porto,0,1,A,0,0,D,12,8,0,5,20,22,2,7,2,4,0,0,8.0,4.0,1.42
150,P1,04/01/2026,20:30,Alverca,Famalicao,1,0,H,0,0,D,10,14,4,2,14,22,3,4,2,2,0,0,3.6,3.3,2.01
151,P1,11/01/2026,15:30,Nacional,Santa Clara,3,3,D,2,2,D,13,22,5,6,14,11,2,8,4,4,0,0,2.7,3.0,2.7
152,P1,11/01/2026,18:00,Moreirense,Tondela,1,0,H,0,0,D,7,8,2,2,7,13,4,2,1,1,0,0,2.01,3.2,3.9
153,P1,16/01/2026,20:15,Sp Lisbon,Casa Pia,3,0,H,2,0,H,16,6,4,1,12,12,4,6,0,2,0,1,1.17,6.5,13.0
154,P1,17/01/2026,15:30,Gil Vicente,Nacional,2,1,H,1,1,D,16,13,4,4,7,18,7,5,1,2,0,0,1.61,3.6,5.5
155,P1,17/01/2026,18:00,Alverca,Moreirense,2,1,H,0,0,D,15,10,3,4,16,6,4,0,3,1,0,0,2.7,2.82,2.75
