Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
01/12/2024,16:30,Heidenheim,Ein Frankfurt,0,4,A,0.0,1.0,A,8.0,14.0,1.0,8.0,7.0,9.0,6.0,5.0,0.0,2.0,0.0,0.0,3.7,3.7,1.95
06/12/2024,19:30,Stuttgart,Union Berlin,3,2,H,0.0,1.0,A,7.0,14.0,5.0,3.0,14.0,19.0,1.0,6.0,1.0,6.0,0.0,0.0,1.8,3.6,4.5
07/12/2024,14:30,Bayern Munich,Heidenheim,4,2,H,1.0,0.0,H,21.0,2.0,10.0,2.0,4.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,1.1,11.0,19.0
07/12/2024,14:30,Bochum,Werder Bremen,0,1,A,0.0,0.0,D,12.0,9.0,2.0,1.0,12.0,10.0,9.0,5.0,1.0,1.0,0.0,0.0,3.2,3.5,2.2
07/12/2024,14:30,Ein Frankfurt,Augsburg,2,2,D,0.0,0.0,D,16.0,8.0,4.0,3.0,17.0,9.0,4.0,0.0,2.0,2.0,0.0,0.0,1.53,4.1,6.25
07/12/2024,14:30,Holstein Kiel,RB Leipzig,0,2,A,0.0,1.0,A,17.0,9.0,5.0,5.0,11.0,13.0,6.0,1.0,4.0,3.0,0.0,0.0,5.75,4.2,1.57
07/12/2024,14:30,Leverkusen,St Pauli,2,1,H,2.0,0.0,H,6.0,12.0,2.0,4.0,8.0,10.0,7.0,4.0,1.0,3.0,0.0,0.0,1.25,6.5,10.0
07/12/2024,17:30,M'gladbach,Dortmund,1,1,D,0.0,0.0,D,9.0,16.0,3.0,3.0,16.0,11.0,7.0,4.0,3.0,2.0,1.0,0.0,3.2,3.75,2.1
08/12/2024,14:30,Wolfsburg,Mainz,4,3,H,1.0,2.0,A,10.0,12.0,5.0,5.0,10.0,15.0,3.0,5.0,3.0,4.0,0.0,0.0,2.15,3.3,3.5
08/12/2024,16:30,Hoffenheim,Freiburg,1,1,D,0.0,0.0,D,15.0,11.0,5.0,4.0,10.0,5.0,6.0,1.0,1.0,1.0,0.0,0.0,2.7,3.4,2.55
13/12/2024,19:30,Freiburg,Wolfsburg,3,2,H,1.0,0.0,H,18.0,20.0,9.0,5.0,11.0,3.0,5.0,6.0,4.0,1.0,0.0,0.0,2.2,3.3,3.3
14/12/2024,14:30,Augsburg,Leverkusen,0,2,A,0.0,2.0,A,8.0,14.0,4.0,3.0,12.0,5.0,4.0,9.0,3.0,0.0,0.0,0.0,5.75,4.0,1.57
14/12/2024,14:30,Mainz,Bayern Munich,2,1,H,1.0,0.0,H,8.0,13.0,4.0,1.0,21.0,12.0,3.0,2.0,3.0,2.0,0.0,0.0,6.5,4.5,1.48
14/12/2024,14:30,M'gladbach,Holstein Kiel,4,1,H,3.0,1.0,H,15.0,11.0,6.0,3.0,10.0,14.0,5.0,2.0,1.0,1.0,0.0,0.0,1.44,4.75,6.5
14/12/2024,14:30,Union Berlin,Bochum,0,2,A,0.0,2.0,A,19.0,8.0,4.0,2.0,12.0,9.0,7.0,6.0,2.0,2.0,0.0,1.0,1.6,3.8,6.0
14/12/2024,17:30,St Pauli,Werder Bremen,0,2,A,0.0,1.0,A,15.0,8.0,4.0,4.0,10.0,9.0,4.0,5.0,2.0,3.0,0.0,0.0,2.63,3.4,2.63
15/12/2024,14:30,Heidenheim,Stuttgart,1,3,A,1.0,2.0,A,9.0,18.0,2.0,7.0,25.0,13.0,9.0,6.0,4.0,3.0,0.0,0.0,4.0,4.0,1.8
15/12/2024,16:30,Dortmund,Hoffenheim,1,1,D,0.0,0.0,D,6.0,12.0,2.0,1.0,9.0,10.0,3.0,9.0,5.0,2.0,0.0,0.0,1.44,5.0,6.0
15/12/2024,18:30,RB Leipzig,Ein Frankfurt,2,1,H,1.0,1.0,D,19.0,16.0,9.0,3.0,15.0,10.0,6.0,7.0,1.0,3.0,0.0,0.0,2.05,4.0,3.2
20/12/2024,19:30,Bayern Munich,RB Leipzig,5,1,H,3.0,1.0,H,22.0,4.0,9.0,1.0,9.0,10.0,8.0,1.0,5.0,2.0,0.0,0.0,1.2,7.5,11.0
21/12/2024,14:30,Ein Frankfurt,Mainz,1,3,A,0.0,2.0,A,34.0,9.0,9.0,3.0,10.0,10.0,17.0,2.0,1.0,1.0,0.0,1.0,1.83,4.0,3.9
21/12/2024,14:30,Hoffenheim,M'gladbach,1,2,A,0.0,1.0,A,18.0,5.0,8.0,3.0,14.0,6.0,8.0,4.0,0.0,0.0,0.0,0.0,2.3,3.6,2.9
