Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
P1,28/12/2022,19:00,Portimonense,Casa Pia,1,2,A,1,1,D,6,20,2,7,22,10,1,11,4,3,0,0,2.38,3.1,3.1
P1,28/12/2022,21:15,Porto,Arouca,5,1,H,3,0,H,16,8,11,2,13,14,5,3,1,3,0,0,1.11,8.0,23.0
P1,29/12/2022,17:00,Gil Vicente,Santa Clara,1,0,H,1,0,H,14,10,5,1,17,14,4,9,3,2,0,0,2.15,3.2,3.5
P1,29/12/2022,21:15,Sp Lisbon,Pacos Ferreira,3,0,H,3,0,H,15,6,5,1,18,14,4,3,1,4,1,0,1.13,8.0,21.0
P1,30/12/2022,17:00,Chaves,Famalicao,0,2,A,0,1,A,19,15,3,6,18,19,5,3,4,5,0,0,2.5,3.2,2.8
P1,30/12/2022,19:00,Vizela,Guimaraes,3,0,H,1,0,H,9,16,4,3,18,12,1,5,5,3,0,0,2.2,3.25,3.3
P1,30/12/2022,21:15,Sp Braga,Benfica,3,0,H,2,0,H,15,10,6,3,11,13,4,8,1,3,0,0,4.5,3.8,1.7
P1,05/01/2023,20:15,Santa Clara,Sp Braga,0,4,A,0,2,A,3,26,0,13,15,14,1,6,1,1,0,0,5.0,3.6,1.65
P1,06/01/2023,19:00,Benfica,Portimonense,1,0,H,1,0,H,27,1,12,0,11,15,12,2,0,2,0,0,1.14,6.0,21.0
P1,06/01/2023,21:15,Famalicao,Vizela,2,1,H,1,0,H,9,7,3,4,14,11,6,4,3,6,0,0,2.38,3.2,3.0
P1,07/01/2023,15:30,Arouca,Estoril,2,0,H,1,0,H,17,14,7,3,19,18,2,5,2,1,0,0,2.2,3.3,3.3
P1,07/01/2023,18:00,Guimaraes,Rio Ave,0,0,D,0,0,D,9,9,2,0,21,21,5,2,3,2,0,0,2.0,3.4,3.75
P1,07/01/2023,20:30,Casa Pia,Porto,0,0,D,0,0,D,2,25,0,9,10,11,5,6,3,0,1,0,9.0,4.5,1.36
P1,08/01/2023,15:30,Pacos Ferreira,Chaves,1,1,D,0,0,D,18,12,4,2,19,20,9,6,6,5,0,0,2.75,3.3,2.5
P1,08/01/2023,18:00,Maritimo,Sp Lisbon,1,0,H,0,0,D,9,10,2,1,24,12,3,8,4,4,0,0,9.0,4.5,1.4
P1,08/01/2023,20:30,Boavista,Gil Vicente,1,0,H,1,0,H,13,18,5,4,18,10,6,9,4,2,1,0,2.55,3.25,2.7
P1,13/01/2023,20:15,Portimonense,Santa Clara,0,0,D,0,0,D,24,10,4,2,17,13,6,1,2,5,0,1,1.95,3.3,3.75
P1,14/01/2023,15:30,Vizela,Maritimo,3,0,H,2,0,H,18,8,9,1,15,10,7,4,1,4,0,1,1.75,3.5,4.33
P1,14/01/2023,18:00,Rio Ave,Pacos Ferreira,0,1,A,0,1,A,16,5,6,2,22,16,6,2,5,6,0,0,1.85,3.3,4.0
P1,14/01/2023,20:30,Sp Braga,Boavista,1,0,H,0,0,D,9,10,4,0,11,14,1,7,2,3,0,0,1.29,5.0,10.0
P1,15/01/2023,15:30,Chaves,Arouca,1,1,D,1,0,H,15,18,5,6,6,14,5,10,0,1,0,1,2.15,3.2,3.4
P1,15/01/2023,18:00,Benfica,Sp Lisbon,2,2,D,1,1,D,14,8,8,3,14,16,5,2,2,5,0,0,1.8,3.75,3.8
P1,15/01/2023,20:30,Porto,Famalicao,4,1,H,3,0,H,17,10,9,2,22,15,2,5,3,1,0,0,1.18,6.5,15.0
P1,16/01/2023,19:00,Estoril,Casa Pia,2,0,H,1,0,H,11,6,3,0,13,21,4,4,2,5,0,1,2.8,3.1,2.45
