,PH-PA,TH-TA,DGH-DGA,WH-WA,GFH-GFA,MGFH+MGFA,GCH-GCA,MGCH+MGCA,MGFH+MGCA,MGCH+MGFA,GFH-GCA,GCH-GFA,FOH-FOA,FDH-FDA,MFOH+MFOA,MFDH+MFDA,FOH-FDA,FDH-FOA,MFOH+MFDA,MFDH+MFOA,DSH-DSA,MDSH+MDSA,PRT,GLS,R
1720,-92.30615440404131,-16,-24.0,1.0,3.0,2.1,2.0,3.0,2.5999999999999996,2.5,-2.0,7.0,-13.398466484495895,-5.573376623376628,3.5672567383596796,-1.026746031746032,13.484092296592296,-32.45593540446482,0.8790008602508604,1.6615098463627873,2,1.0,-1,5.0,-1
1721,-72.12222173521468,-10,-7.0,0.0,5.0,1.727272727272727,-1.0,3.1818181818181817,2.7272727272727275,2.1818181818181817,-6.0,10.0,-4.656325020009229,2.13088023088023,2.774009345253364,-1.4853994490358127,22.164025974025975,-24.689470763154972,0.3357956185228913,0.9528142776946603,-1,1.0,1,3.0,1
1722,152.23755308692455,22,38.0,5.0,6.0,2.3636363636363638,-15.0,2.8181818181818183,3.5454545454545454,1.6363636363636362,-7.0,-2.0,5.18532301032301,23.190800865800867,4.464203221021403,-1.365830381739473,46.253246753246756,-17.87712287712288,0.7307556080283353,2.367617231253595,-2,0.7272727272727273,1,5.0,1
1723,-77.02861885857908,-10,-15.0,-0.5,-1.0,1.9090909090909092,1.0,2.2727272727272725,2.0,2.1818181818181817,-2.0,2.0,-3.493744902440552,-14.936868686868687,2.855940546059123,-0.593841007477371,9.758491749796098,-28.18910533910534,1.651191759492155,0.6109077790895971,-1,1.0,0,0.0,0
1724,81.0984653053331,11,23.0,2.5,2.0,3.2727272727272725,-13.0,1.9090909090909092,3.2727272727272725,1.9090909090909092,2.0,-13.0,10.758087990440934,5.4487012987013,4.929365732306909,-0.979771743408107,40.603650761003706,-24.39686147186147,2.216132753164839,1.733461235733963,2,1.2727272727272727,-1,3.0,1
1725,163.2905093891551,24,37.0,6.0,17.0,2.881818181818182,-10.0,2.1454545454545455,3.7818181818181817,1.2454545454545454,8.0,-1.0,14.591059757236224,11.152200577200578,4.0879394788218315,-0.6262668896759807,37.64696969696969,-11.903709362532892,1.7823484848484847,1.6793241042973663,-3,1.0636363636363635,0,0.0,0
1726,-37.85388742370242,-3,-1.0,1.0,4.0,1.2727272727272727,0.0,2.5454545454545454,2.090909090909091,1.7272727272727273,-5.0,9.0,3.6424880674880686,-5.113744588744589,2.3435188548824915,-1.1088318247409157,18.252300477300476,-19.723556998556997,1.0153540903540903,0.21933293978748514,-3,0.8181818181818181,0,0.0,0
1727,65.90566580709924,12,14.0,2.5,8.0,1.6363636363636365,5.0,3.5454545454545454,2.7272727272727275,2.4545454545454546,-4.0,17.0,11.36535890580008,-5.388744588744588,2.7959358155213767,-2.4398793126065854,31.78529036323154,-25.808676046176046,0.9395784103003352,-0.5835219073855439,0,0.7272727272727273,1,3.0,-1
1728,-250.0087916070239,-40,-63.0,-5.5,-11.0,3.545454545454546,13.0,2.2727272727272725,1.8181818181818181,4.0,8.0,-6.0,-27.51871323121324,-13.774098124098128,4.776619466392194,-0.5349927849927851,8.567461704961705,-49.86027306027307,1.4960581085581088,2.745568572841301,5,0.6363636363636364,0,0.0,0
1729,-160.55043779586765,-22,-25.0,-0.5,-3.0,1.9090909090909092,-1.0,2.8181818181818183,2.272727272727273,2.454545454545454,-7.0,3.0,-12.09140665835712,-3.8888528138528144,3.6775737654783534,-0.9124983602256328,17.255266955266958,-33.23552642747689,1.0096943460579828,1.7553810591947374,5,1.1818181818181819,0,2.0,0
1730,2.2848889395098695,2,2.0,2.5,4.0,1.4545454545454546,-3.0,2.6363636363636367,2.3636363636363638,1.7272727272727273,-6.0,7.0,-3.0607792207792226,4.645887445887446,2.290636232454414,-0.9299357208448118,18.505699855699856,-16.92059163059163,0.3300472255017709,1.0306532861078317,2,1.0909090909090908,0,4.0,0
1731,-62.833010091049346,-7,-23.0,-0.5,-20.0,3.090909090909091,-14.0,2.5454545454545454,2.5454545454545454,3.090909090909091,-14.0,-20.0,-16.299167963099855,7.200036075036074,4.655296261108251,0.26102256329529067,19.618939393939392,-28.718071282003173,1.3900137741046832,3.5263050502988587,-1,1.3636363636363638,0,3.0,-1
