,LocalFavor,VisitFavor,LocalContra,VisitContra,LocalRoja,VisitRoja,LocalAmarilla,VisitAmarilla,LocalCorner,VisitCorner,LocalTiros,VisitTiros,LocalFaltas,VisitFaltas,Resultado,FTG,Corner10,Ambos,UO_0.5,UO_1.5,UO_2.5,UO_3.5,UO_4.5
317,1.4,1.8,1.3,1.7,0.0,0.0,2.6,1.4,2.6,4.7,3.7,5.1,12.0,11.5,1,4,-1,1,1,1,1,1,0
318,1.1,1.2,1.0,1.5,0.1,0.0,2.0,1.4,6.2,3.7,4.1,3.3,10.3,9.7,0,2,-1,0,1,1,0,0,0
319,1.4,1.5,1.3,1.6,0.0,0.0,1.0,1.5,5.6,5.6,4.1,5.3,8.6,10.7,0,3,-1,1,1,1,1,0,0
320,3.2,1.8,0.9,0.9,0.1,0.0,1.0,1.8,7.3,4.7,6.2,4.3,9.1,10.0,1,5,-1,1,1,1,1,1,1
321,0.8,1.7,1.4,1.0,0.1,0.0,1.9,1.5,5.3,6.1,4.7,4.6,9.8,10.4,0,5,1,1,1,1,1,1,1
322,1.0,0.9,1.9,2.3,0.0,0.0,1.4,2.0,4.6,3.3,4.2,3.2,10.5,9.9,0,1,0,0,1,0,0,0,0
323,1.9,1.2,1.3,1.7,0.1,0.0,2.2,2.3,6.2,4.3,6.1,5.1,11.9,11.2,0,4,1,1,1,1,1,1,0
324,1.1,0.8,1.2,1.6,0.1,0.0,1.7,1.3,5.3,5.3,3.5,3.6,11.5,10.4,1,7,1,1,1,1,1,1,1
325,1.8,0.6,0.9,2.3,0.1,0.0,1.5,1.8,4.9,4.1,5.2,2.5,8.9,11.4,1,3,-1,1,1,1,1,0,0
326,1.9,0.6,1.1,2.0,0.0,0.1,1.7,2.0,7.5,4.5,7.1,2.6,10.9,12.5,1,6,-1,0,1,1,1,1,1
327,1.1,1.2,1.5,2.2,0.0,0.1,1.6,2.4,4.3,4.7,3.8,3.4,10.7,11.7,1,5,-1,1,1,1,1,1,1
328,1.6,1.8,1.5,0.8,0.1,0.0,1.4,1.3,5.6,5.4,4.3,5.3,10.2,9.2,0,3,-1,1,1,1,1,0,0
329,1.9,0.9,0.5,1.3,0.1,0.1,1.8,2.3,5.9,3.9,6.2,3.3,11.1,11.9,1,1,-1,0,1,0,0,0,0
330,1.9,0.9,0.7,1.9,0.1,0.0,1.5,2.5,8.2,3.6,5.8,3.3,10.9,12.1,1,4,1,1,1,1,1,1,0
331,2.4,1.7,0.9,2.0,0.1,0.1,1.5,1.8,6.8,4.5,5.9,4.5,10.6,10.3,1,7,-1,1,1,1,1,1,1
332,1.2,0.9,1.4,1.6,0.1,0.1,1.4,2.2,3.5,3.9,4.2,3.3,11.0,11.1,0,4,1,1,1,1,1,1,0
333,2.8,0.9,1.3,1.5,0.0,0.1,0.9,2.1,7.0,4.8,6.5,4.3,9.6,10.6,1,4,-1,1,1,1,1,1,0
334,2.4,1.3,0.9,1.3,0.1,0.0,1.5,2.8,6.8,4.2,5.9,3.6,10.6,11.5,1,1,1,0,1,0,0,0,0
335,3.2,0.8,0.9,1.6,0.1,0.0,1.0,1.3,7.3,5.3,6.2,3.6,9.1,10.4,1,3,-1,0,1,1,1,0,0
336,1.9,1.2,1.1,1.7,0.0,0.0,1.7,2.3,7.5,4.3,7.1,5.1,10.9,11.2,1,1,1,0,1,0,0,0,0
337,1.1,0.9,1.5,1.5,0.0,0.1,1.6,2.1,4.3,4.8,3.8,4.3,10.7,10.6,0,4,1,1,1,1,1,1,0
338,3.2,1.2,0.9,2.2,0.1,0.1,1.0,2.4,7.3,4.7,6.2,3.4,9.1,11.7,1,3,1,1,1,1,1,0,0
339,1.9,1.0,1.3,1.4,0.1,0.1,2.2,2.4,6.2,4.5,6.1,3.6,11.9,12.0,1,1,1,0,1,0,0,0,0
340,1.0,0.9,1.1,1.3,0.2,0.1,2.4,2.3,5.3,3.9,3.9,3.3,11.9,11.9,1,1,1,0,1,0,0,0,0
341,2.4,1.2,0.9,1.5,0.1,0.0,1.5,1.4,6.8,3.7,5.9,3.3,10.6,9.7,1,1,0,0,1,0,0,0,0
342,1.9,1.8,0.7,0.9,0.1,0.0,1.5,1.8,8.2,4.7,5.8,4.3,10.9,10.0,0,2,1,0,1,1,0,0,0
343,1.4,1.2,1.3,1.7,0.0,0.0,1.0,2.3,5.6,4.3,4.1,5.1,8.6,11.2,1,1,1,0,1,0,0,0,0
344,1.6,1.5,1.5,2.2,0.1,0.0,1.4,1.6,5.6,3.6,4.3,3.8,10.2,10.6,1,8,-1,1,1,1,1,1,1
345,1.9,0.9,1.1,1.6,0.0,0.1,1.7,2.2,7.5,3.9,7.1,3.3,10.9,11.1,0,6,1,1,1,1,1,1,1
346,1.4,0.9,1.3,1.9,0.0,0.0,2.6,2.5,2.6,3.6,3.7,3.3,12.0,12.1,1,7,1,1,1,1,1,1,1
347,1.4,1.7,1.9,1.0,0.1,0.0,2.0,1.5,5.8,6.1,4.2,4.6,12.3,10.4,0,4,-1,1,1,1,1,1,0
348,1.7,1.7,1.1,2.0,0.0,0.1,1.9,1.8,4.8,4.5,4.6,4.5,10.1,10.3,1,3,1,1,1,1,1,0,0
349,1.1,0.6,1.0,2.3,0.1,0.0,2.0,1.8,6.2,4.1,4.1,2.5,10.3,11.4,0,4,-1,1,1,1,1,1,0
350,1.1,0.9,1.2,2.3,0.1,0.0,1.7,2.0,5.3,3.3,3.5,3.2,11.5,9.9,1,2,1,0,1,1,0,0,0
351,1.9,0.6,0.5,2.0,0.1,0.1,1.8,2.0,5.9,4.5,6.2,2.6,11.1,12.5,1,2,1,0,1,1,0,0,0
